"ReadingOriginal","ReadingStand","Values","Humidity"
"22/12/2020 14:00:01",2020-12-22 14:00:01,27.813,12.708
"22/12/2020 15:00:01",2020-12-22 15:00:01,22.75,23.567
"22/12/2020 16:00:01",2020-12-22 16:00:01,16.938,39.336
"22/12/2020 17:00:01",2020-12-22 17:00:01,10.75,67.72
"22/12/2020 18:00:01",2020-12-22 18:00:01,7.563,72.431
"22/12/2020 19:00:01",2020-12-22 19:00:01,6.5,79.736
"22/12/2020 20:00:01",2020-12-22 20:00:01,5.25,80.455
"22/12/2020 21:00:01",2020-12-22 21:00:01,6.5,81.652
"22/12/2020 22:00:01",2020-12-22 22:00:01,8.25,75.784
"22/12/2020 23:00:01",2020-12-22 23:00:01,8.813,76.503
"23/12/2020 00:00:01",2020-12-23 00:00:01,4.813,84.008
"23/12/2020 01:00:01",2020-12-23 01:00:01,3.438,85.964
"23/12/2020 02:00:01",2020-12-23 02:00:01,2.563,88.958
"23/12/2020 03:00:01",2020-12-23 03:00:01,2.125,89.876
"23/12/2020 04:00:01",2020-12-23 04:00:01,2.5,89.198
"23/12/2020 05:00:01",2020-12-23 05:00:01,4.5,88.12
"23/12/2020 06:00:01",2020-12-23 06:00:01,4,93.868
"23/12/2020 07:00:01",2020-12-23 07:00:01,3.875,95.026
"23/12/2020 08:00:01",2020-12-23 08:00:01,9.188,96.304
"23/12/2020 09:00:01",2020-12-23 09:00:01,11.813,82.69
"23/12/2020 10:00:01",2020-12-23 10:00:01,15.688,28.597
"23/12/2020 11:00:01",2020-12-23 11:00:01,22.75,13.626
"23/12/2020 12:00:01",2020-12-23 12:00:01,23.063,8.636
"23/12/2020 13:00:01",2020-12-23 13:00:01,22.688,7.598
"23/12/2020 14:00:01",2020-12-23 14:00:01,22,5.962
"23/12/2020 15:00:01",2020-12-23 15:00:01,18.625,7.199
"23/12/2020 16:00:01",2020-12-23 16:00:01,16.5,8.237
"23/12/2020 17:00:01",2020-12-23 17:00:01,13.75,8.477
"23/12/2020 18:00:01",2020-12-23 18:00:01,13.875,7.479
"23/12/2020 19:00:01",2020-12-23 19:00:01,12.938,8.716
"23/12/2020 20:00:01",2020-12-23 20:00:01,12.5,7.758
"23/12/2020 21:00:01",2020-12-23 21:00:01,12.063,8.596
"23/12/2020 22:00:01",2020-12-23 22:00:01,12.375,7.479
"23/12/2020 23:00:01",2020-12-23 23:00:01,13.063,6.201
"24/12/2020 00:00:01",2020-12-24 00:00:01,12.375,6.52
"24/12/2020 01:00:01",2020-12-24 01:00:01,12.688,6.72
"24/12/2020 02:00:01",2020-12-24 02:00:01,11.5,6.92
"24/12/2020 03:00:01",2020-12-24 03:00:01,11.875,6.441
"24/12/2020 04:00:01",2020-12-24 04:00:01,12.125,6.68
"24/12/2020 05:00:01",2020-12-24 05:00:01,11.313,7.798
"24/12/2020 06:00:01",2020-12-24 06:00:01,11.75,7.239
"24/12/2020 07:00:01",2020-12-24 07:00:01,10.25,8.037
"24/12/2020 08:00:01",2020-12-24 08:00:01,10.75,10.832
"24/12/2020 09:00:01",2020-12-24 09:00:01,13.438,9.075
"24/12/2020 10:00:01",2020-12-24 10:00:01,15.063,10.353
"24/12/2020 11:00:01",2020-12-24 11:00:01,15.313,11.032
"24/12/2020 12:00:01",2020-12-24 12:00:01,20.188,10.792
"24/12/2020 13:00:01",2020-12-24 13:00:01,19.563,8.916
"24/12/2020 14:00:01",2020-12-24 14:00:01,15.625,8.317
"24/12/2020 15:00:01",2020-12-24 15:00:01,13,36.581
"24/12/2020 16:00:01",2020-12-24 16:00:01,8.188,90.116
"24/12/2020 17:00:01",2020-12-24 17:00:01,13.563,33.507
"24/12/2020 18:00:01",2020-12-24 18:00:01,13.5,34.146
"24/12/2020 19:00:01",2020-12-24 19:00:01,13.938,34.146
"24/12/2020 20:00:01",2020-12-24 20:00:01,12.5,37.659
"24/12/2020 21:00:01",2020-12-24 21:00:01,10.75,42.21
"24/12/2020 22:00:01",2020-12-24 22:00:01,11.75,35.982
"24/12/2020 23:00:01",2020-12-24 23:00:01,7.125,45.005
"25/12/2020 00:00:01",2020-12-25 00:00:01,6.75,50.194
"25/12/2020 01:00:01",2020-12-25 01:00:01,5.688,52.869
"25/12/2020 02:00:01",2020-12-25 02:00:01,5.688,58.139
"25/12/2020 03:00:01",2020-12-25 03:00:01,5.25,58.298
"25/12/2020 04:00:01",2020-12-25 04:00:01,5.75,56.861
"25/12/2020 05:00:01",2020-12-25 05:00:01,7.375,53.029
"25/12/2020 06:00:01",2020-12-25 06:00:01,6.75,46.442
"25/12/2020 07:00:01",2020-12-25 07:00:01,8,49.995
"25/12/2020 08:00:01",2020-12-25 08:00:01,6.5,53.628
"25/12/2020 09:00:01",2020-12-25 09:00:01,11.5,46.921
"25/12/2020 10:00:01",2020-12-25 10:00:01,13.438,39.256
"25/12/2020 11:00:01",2020-12-25 11:00:01,25.875,17.818
