ReadingOriginal,ReadingStand,Values,Humidity
19/01/2021 01:00:01,1/19/2021 1:00,3.688,97.701
19/01/2021 02:00:01,1/19/2021 2:00,4.688,100.815
19/01/2021 03:00:01,1/19/2021 3:00,5.5,99.936
19/01/2021 04:00:01,1/19/2021 4:00,5.313,100.695
19/01/2021 05:00:01,1/19/2021 5:00,6,101.972
19/01/2021 06:00:01,1/19/2021 6:00,5.813,99.697
19/01/2021 07:00:01,1/19/2021 7:00,6.813,80.415
19/01/2021 08:00:01,1/19/2021 8:00,11.063,41.052
19/01/2021 09:00:01,1/19/2021 9:00,13.438,24.126
19/01/2021 10:00:01,1/19/2021 10:00,15.875,20.533
19/01/2021 11:00:01,1/19/2021 11:00,18.813,15.064
19/01/2021 12:00:01,1/19/2021 12:00,24.75,12.109
19/01/2021 13:00:01,1/19/2021 13:00,21.438,10.473
19/01/2021 14:00:01,1/19/2021 14:00,21.625,13.307
19/01/2021 15:00:01,1/19/2021 15:00,15.375,21.97
19/01/2021 16:00:01,1/19/2021 16:00,13.938,31.99
19/01/2021 17:00:01,1/19/2021 17:00,11.688,38.897
19/01/2021 18:00:01,1/19/2021 18:00,12.75,36.701
19/01/2021 19:00:01,1/19/2021 19:00,12.5,36.941
19/01/2021 20:00:01,1/19/2021 20:00,12.875,38.937
19/01/2021 21:00:01,1/19/2021 21:00,13.188,40.174
19/01/2021 22:00:01,1/19/2021 22:00,12.938,41.052
19/01/2021 23:00:01,1/19/2021 23:00,11.813,40.813
20/01/2021 00:00:01,1/20/2021 0:00,12.438,38.977
20/01/2021 01:00:01,1/20/2021 1:00,12.125,39.256
20/01/2021 02:00:01,1/20/2021 2:00,12.813,38.218
20/01/2021 03:00:01,1/20/2021 3:00,13.188,39.376
20/01/2021 04:00:01,1/20/2021 4:00,12.813,41.571
20/01/2021 05:00:01,1/20/2021 5:00,12.75,43.528
20/01/2021 06:00:01,1/20/2021 6:00,12.75,43.887
20/01/2021 07:00:01,1/20/2021 7:00,12.313,52.43
20/01/2021 08:00:01,1/20/2021 8:00,13.5,52.989
20/01/2021 09:00:01,1/20/2021 9:00,15.625,46.122
20/01/2021 10:00:01,1/20/2021 10:00,17.563,41.252
20/01/2021 11:00:01,1/20/2021 11:00,23.125,26.761
