"ReadingOriginal","ReadingStand","Values","Humidity"
"30/03/2021 08:21:01",2021-03-30 08:21:01,18,94.108
"30/03/2021 09:21:01",2021-03-30 09:21:01,20.75,79.257
"30/03/2021 10:21:01",2021-03-30 10:21:01,28.063,41.052
"30/03/2021 11:21:01",2021-03-30 11:21:01,37.063,24.086
"30/03/2021 12:21:01",2021-03-30 12:21:01,41.938,16.9
"30/03/2021 13:21:01",2021-03-30 13:21:01,45.375,14.225
"30/03/2021 14:21:01",2021-03-30 14:21:01,43.813,14.904
"30/03/2021 15:21:01",2021-03-30 15:21:01,38.938,20.653
"30/03/2021 16:21:01",2021-03-30 16:21:01,32.625,25.443
"30/03/2021 17:21:01",2021-03-30 17:21:01,22.313,41.611
"30/03/2021 18:21:01",2021-03-30 18:21:01,15,63.169
"30/03/2021 19:21:01",2021-03-30 19:21:01,11.125,77.62
"30/03/2021 20:21:01",2021-03-30 20:21:01,9.313,83.649
"30/03/2021 21:21:01",2021-03-30 21:21:01,8.125,90.076
"30/03/2021 22:21:01",2021-03-30 22:21:01,7.375,92.032
"30/03/2021 23:21:01",2021-03-30 23:21:01,6.438,95.146
"31/03/2021 00:21:01",2021-03-31 00:21:01,8.063,67.48
"31/03/2021 01:21:01",2021-03-31 01:21:01,10.313,35.543
"31/03/2021 02:21:01",2021-03-31 02:21:01,9.75,31.431
"31/03/2021 03:21:01",2021-03-31 03:21:01,10.563,26.242
"31/03/2021 04:21:01",2021-03-31 04:21:01,10.25,23.048
"31/03/2021 05:21:01",2021-03-31 05:21:01,11.688,18.856
"31/03/2021 06:21:01",2021-03-31 06:21:01,10.438,24.485
"31/03/2021 07:21:01",2021-03-31 07:21:01,12.938,27.24
"31/03/2021 08:21:01",2021-03-31 08:21:01,20.25,17.379
"31/03/2021 09:21:01",2021-03-31 09:21:01,28.5,11.151
"31/03/2021 10:21:01",2021-03-31 10:21:01,36.125,7.239
"31/03/2021 11:21:01",2021-03-31 11:21:01,43.875,5.243
"31/03/2021 12:21:01",2021-03-31 12:21:01,49.625,2.249
"31/03/2021 13:21:01",2021-03-31 13:21:01,51.313,3.367
"31/03/2021 14:21:01",2021-03-31 14:21:01,45.563,3.486
"31/03/2021 15:21:01",2021-03-31 15:21:01,44,5.682
"31/03/2021 16:21:01",2021-03-31 16:21:01,37.813,7.159
"31/03/2021 17:21:01",2021-03-31 17:21:01,25.438,13.068
"31/03/2021 18:21:01",2021-03-31 18:21:01,15.75,33.188
"31/03/2021 19:21:01",2021-03-31 19:21:01,12.063,42.49
"31/03/2021 20:21:01",2021-03-31 20:21:01,13.438,30.873
"31/03/2021 21:21:01",2021-03-31 21:21:01,11.188,40.613
"31/03/2021 22:21:01",2021-03-31 22:21:01,13.313,25.244
"31/03/2021 23:21:01",2021-03-31 23:21:01,12.813,23.727
"1/4/2021 0:21",2021-04-01 00:21:00,13.938,17.179
"1/4/2021 1:21",2021-04-01 01:21:00,13.875,16.9
"1/4/2021 2:21",2021-04-01 02:21:00,13.438,15.862
"1/4/2021 3:21",2021-04-01 03:21:00,13,15.423
"1/4/2021 4:21",2021-04-01 04:21:00,12.313,16.94
"1/4/2021 5:21",2021-04-01 05:21:00,12.438,16.661
