ReadingOriginal,ReadingStand,Values,Humidity
26/01/2021 10:49:01,1/26/2021 10:49,4.313,89.158
26/01/2021 11:49:01,1/26/2021 11:49,3.375,90.156
26/01/2021 12:49:01,1/26/2021 12:49,2.313,91.274
26/01/2021 13:49:01,1/26/2021 13:49,1.75,90.196
26/01/2021 14:49:01,1/26/2021 14:49,0.938,95.226
26/01/2021 15:49:01,1/26/2021 15:49,0.688,95.026
26/01/2021 16:49:01,1/26/2021 16:49,0.313,96.344
26/01/2021 17:49:01,1/26/2021 17:49,0.188,97.102
26/01/2021 18:49:01,1/26/2021 18:49,1,94.427
26/01/2021 19:49:01,1/26/2021 19:49,0.188,97.461
26/01/2021 20:49:01,1/26/2021 20:49,-0.438,96.184
26/01/2021 21:49:01,1/26/2021 21:49,-0.875,99.138
26/01/2021 22:49:01,1/26/2021 22:49,-0.938,98.499
26/01/2021 23:49:01,1/26/2021 23:49,-0.563,96.783
27/01/2021 00:49:01,1/27/2021 0:49,0.375,97.461
27/01/2021 01:49:01,1/27/2021 1:49,7.188,94.707
27/01/2021 02:49:01,1/27/2021 2:49,10.75,91.074
27/01/2021 03:49:01,1/27/2021 3:49,13.5,97.621
27/01/2021 04:49:01,1/27/2021 4:49,15.063,97.142
27/01/2021 05:49:01,1/27/2021 5:49,16.563,89.477
27/01/2021 06:49:01,1/27/2021 6:49,16.25,84.048
27/01/2021 07:49:01,1/27/2021 7:49,14.188,87.082
27/01/2021 08:49:01,1/27/2021 8:49,10.5,90.036
27/01/2021 09:49:01,1/27/2021 9:49,6.25,91.234
27/01/2021 10:49:01,1/27/2021 10:49,4.625,86.124
27/01/2021 11:49:01,1/27/2021 11:49,3.5,89.796
27/01/2021 12:49:01,1/27/2021 12:49,2.688,90.555
27/01/2021 13:49:01,1/27/2021 13:49,1.938,90.914
27/01/2021 14:49:01,1/27/2021 14:49,1.188,90.595
27/01/2021 15:49:01,1/27/2021 15:49,1.125,88.838
27/01/2021 16:49:01,1/27/2021 16:49,0.313,89.557
27/01/2021 17:49:01,1/27/2021 17:49,0.313,78.339
27/01/2021 18:49:01,1/27/2021 18:49,0.125,84.447
27/01/2021 19:49:01,1/27/2021 19:49,0.188,86.044
27/01/2021 20:49:01,1/27/2021 20:49,0.25,83.329
27/01/2021 21:49:01,1/27/2021 21:49,0.875,83.968
27/01/2021 22:49:01,1/27/2021 22:49,0.313,84.647
27/01/2021 23:49:01,1/27/2021 23:49,0.563,84.128
28/01/2021 00:49:01,1/28/2021 0:49,1.875,88.04
28/01/2021 01:49:01,1/28/2021 1:49,8.563,85.924
28/01/2021 02:49:01,1/28/2021 2:49,12.938,85.605
28/01/2021 03:49:01,1/28/2021 3:49,14.063,95.346
28/01/2021 04:49:01,1/28/2021 4:49,15.625,84.806
28/01/2021 05:49:01,1/28/2021 5:49,16.875,94.507
28/01/2021 06:49:01,1/28/2021 6:49,16.938,110.116
28/01/2021 07:49:01,1/28/2021 7:49,15,112.312
28/01/2021 08:49:01,1/28/2021 8:49,11.75,114.508
28/01/2021 09:49:01,1/28/2021 9:49,8.188,85.285
28/01/2021 10:49:01,1/28/2021 10:49,6.688,84.607
28/01/2021 11:49:01,1/28/2021 11:49,5.813,88.599
28/01/2021 12:49:01,1/28/2021 12:49,5,87.321
28/01/2021 13:49:01,1/28/2021 13:49,4.438,88.08
28/01/2021 14:49:01,1/28/2021 14:49,4.188,89.517
28/01/2021 15:49:01,1/28/2021 15:49,3.5,90.914
28/01/2021 16:49:01,1/28/2021 16:49,3.313,102.531
28/01/2021 17:49:01,1/28/2021 17:49,2.813,101.254
28/01/2021 18:49:01,1/28/2021 18:49,2.938,97.182
28/01/2021 19:49:01,1/28/2021 19:49,2.625,98.06
28/01/2021 20:49:01,1/28/2021 20:49,2.313,98.499
28/01/2021 21:49:01,1/28/2021 21:49,2.188,98.3
28/01/2021 22:49:01,1/28/2021 22:49,2.063,98.859
28/01/2021 23:49:01,1/28/2021 23:49,2.563,98.02
29/01/2021 00:49:01,1/29/2021 0:49,3.938,96.144
29/01/2021 01:49:01,1/29/2021 1:49,12.813,91.593
29/01/2021 02:49:01,1/29/2021 2:49,16.313,90.914
29/01/2021 03:49:01,1/29/2021 3:49,18.563,86.802
29/01/2021 04:49:01,1/29/2021 4:49,22.375,60.135
29/01/2021 05:49:01,1/29/2021 5:49,22.875,54.466
29/01/2021 06:49:01,1/29/2021 6:49,21.688,48.957
29/01/2021 07:49:01,1/29/2021 7:49,19.625,60.334
29/01/2021 08:49:01,1/29/2021 8:49,12.438,87.721
29/01/2021 09:49:01,1/29/2021 9:49,7.75,102.531
29/01/2021 10:49:01,1/29/2021 10:49,6.563,106.803
29/01/2021 11:49:01,1/29/2021 11:49,6.375,108.48
29/01/2021 12:49:01,1/29/2021 12:49,5.875,110.476
29/01/2021 13:49:01,1/29/2021 13:49,5.938,107.601
29/01/2021 14:49:01,1/29/2021 14:49,7,99.976
29/01/2021 15:49:01,1/29/2021 15:49,5.625,101.493
29/01/2021 16:49:01,1/29/2021 16:49,5.438,106.524
29/01/2021 17:49:01,1/29/2021 17:49,5.188,106.084
29/01/2021 18:49:01,1/29/2021 18:49,5.188,103.689
29/01/2021 19:49:01,1/29/2021 19:49,4.75,102.691
29/01/2021 20:49:01,1/29/2021 20:49,5,97.022
29/01/2021 21:49:01,1/29/2021 21:49,5.5,93.07
29/01/2021 22:49:01,1/29/2021 22:49,4.5,95.465
29/01/2021 23:49:01,1/29/2021 23:49,5.125,98.978
30/01/2021 00:49:01,1/30/2021 0:49,6.688,103.41
30/01/2021 01:49:01,1/30/2021 1:49,17.125,72.67
30/01/2021 02:49:01,1/30/2021 2:49,19.563,64.566
30/01/2021 03:49:01,1/30/2021 3:49,22.25,60.255
30/01/2021 04:49:01,1/30/2021 4:49,24.625,58.059
30/01/2021 05:49:01,1/30/2021 5:49,25.875,46.003
30/01/2021 06:49:01,1/30/2021 6:49,25.063,40.893
30/01/2021 07:49:01,1/30/2021 7:49,22.625,51.033
30/01/2021 08:49:01,1/30/2021 8:49,16.563,60.494
30/01/2021 09:49:01,1/30/2021 9:49,9,92.671
30/01/2021 10:49:01,1/30/2021 10:49,7.813,93.709
30/01/2021 11:49:01,1/30/2021 11:49,7.438,101.334
30/01/2021 12:49:01,1/30/2021 12:49,7.813,106.803
30/01/2021 13:49:01,1/30/2021 13:49,6.313,109.198
30/01/2021 14:49:01,1/30/2021 14:49,5.188,109.318
30/01/2021 15:49:01,1/30/2021 15:49,4.438,109.358
30/01/2021 16:49:01,1/30/2021 16:49,5.313,109.637
30/01/2021 17:49:01,1/30/2021 17:49,4.125,106.923
30/01/2021 18:49:01,1/30/2021 18:49,4.063,107.442
30/01/2021 19:49:01,1/30/2021 19:49,3.438,107.721
30/01/2021 20:49:01,1/30/2021 20:49,3.688,108.32
30/01/2021 21:49:01,1/30/2021 21:49,4.063,109.997
30/01/2021 22:49:01,1/30/2021 22:49,2.563,110.835
30/01/2021 23:49:01,1/30/2021 23:49,3.063,111.434
31/01/2021 00:49:01,1/31/2021 0:49,5.25,111.633
31/01/2021 01:49:01,1/31/2021 1:49,13,97.302
31/01/2021 02:49:01,1/31/2021 2:49,14.75,87.241
31/01/2021 03:49:01,1/31/2021 3:49,18,77.261
31/01/2021 04:49:01,1/31/2021 4:49,19.938,67.64
31/01/2021 05:49:01,1/31/2021 5:49,20.188,69.596
31/01/2021 06:49:01,1/31/2021 6:49,19.25,72.311
31/01/2021 07:49:01,1/31/2021 7:49,11.625,94.866
